word,tf_idf,freq,docs
cumini,0.04491230837171303,9,6
amadores,0.043716692859487594,9,6
envelhecidos,0.05941747541544816,9,5
apc,0.09386619377255608,9,3
ras,0.04339777557178776,9,7
retina,0.06291782188946941,9,4
suficientemente,0.03679278876695669,9,7
acompanhamentos,0.03967822840728416,9,8
simbioticas,0.05238256160706475,9,5
aac,0.05422255902901123,9,4
bri,0.05893866549329904,9,4
josue,0.0401782879390217,9,6
fluxograma,0.03965879176416856,9,7
skills,0.06312586011392095,9,3
almocos,0.04478431036712585,9,5
prostaglandinas,0.044944372396226,9,6
peracetico,0.05634380002572993,9,4
lipoperoxidacao,0.04391975067697249,9,5
biceps,0.044207361202657905,9,5
prestada,0.04941448106700205,9,5
vimos,0.0396092660083184,9,7
refrigeradas,0.0474215020365026,9,7
vhs,0.04798956847235537,9,5
espanha,0.050139545540311886,9,5
mamaria,0.0405533070269385,9,7
gdf,0.056706630668454404,9,4
penicilina,0.039965416443370365,9,8
transparencia,0.03889930533041332,9,7
assay,0.03980050987387439,9,6
biopsicossociais,0.04015732469746231,9,7
stop,0.034961145115660175,9,7
seguidores,0.063879292975101,9,4
ncc,0.07811366558486735,9,2
religiosidade,0.04385285480779045,9,6
desnutrida,0.04784616566979587,9,7
planejado,0.03249958542376136,9,8
dorsal,0.04212178122868929,9,6
despesas,0.037516798987576046,9,7
superalimentacao,0.0613458155287577,9,5
agrega,0.03381720999785563,9,9
cucurbita,0.05054685689877107,9,5
fungicida,0.04101881510748384,9,7
polimero,0.03838986309272987,9,7
jnk,0.03583598506964403,9,8
agm,0.05418311623439968,9,5
musculacao,0.043828875085440484,9,7
ant,0.04269371353323529,9,5
manipulada,0.03749769615766583,9,7
congelado,0.03711415439823792,9,7
iniciacao,0.037179469087558266,9,7
testiculares,0.07975689608291041,9,3
dioxido,0.043538295226049545,9,7
cursar,0.042517461099783375,9,6
regenerativo,0.06260256660678365,9,4
comercialmente,0.03751751097694612,9,7
sorologicos,0.03964772572851674,9,7
listeriose,0.04992175454842313,9,6
behaviour,0.03847368249451327,9,7
hierarquia,0.0510471206201737,9,6
trauma,0.046866701814520434,9,5
dmso,0.042396981415502244,9,6
estilbenos,0.03893432724479185,9,6
imme,0.053079839833003226,9,5
esportistas,0.042256700120478725,9,6
hidroalcoolica,0.04432362946725837,9,6
codificadores,0.04656657736191909,9,6
normotensas,0.052692668773435536,9,5
treinadas,0.0337932766313241,9,7
polissacarideo,0.0348273664847409,9,8
proteases,0.036403917265906666,9,7
desejavam,0.060094169210607604,9,4
viral,0.04175794662896959,9,6
cloro,0.044659316556911986,9,7
intervenientes,0.035490186965555476,9,7
atos,0.04060065481385031,9,7
farmacorresistente,0.052921601897729674,9,5
continente,0.039169063261479356,9,7
vital,0.03706971943356027,9,7
treinada,0.03540286663263874,9,8
dirigido,0.033738284984435915,9,8
coletivamente,0.03751745475684083,9,8
extremo,0.03417411747355018,9,8
sintomatologias,0.05421202491223644,9,5
funcionam,0.03407552515139469,9,9
farmaceuticas,0.039622262693425406,9,7
mamario,0.0430238172213629,9,6
deixando,0.03246981906434076,9,9
empatia,0.037132396292580694,9,7
datas,0.0334338617560135,9,8
submissao,0.027538365097053888,9,8
tercos,0.03459787742923553,9,7
caisan,0.0363448914389869,9,6
kidney,0.03652011144512414,9,7
replicacao,0.03897875399312586,9,8
malondealdeido,0.030972870039032655,9,7
cocasa,0.032132112622500215,9,7
iodado,0.03743311394246177,9,6
fabricante,0.03138558340742623,9,7
holistica,0.03378723950081522,9,8
